"","Date","^GSPC","KL","RGLD","AU","SSRM","SA","GOOG","AMZN","AAPL","MSFT","INTC","SPG","CCI","PLD","PSA","EQR","EC","XOM","CVX","PTR","BP","TOT","JNJ","UNH","PFE","MRK","NVS","ABT"
"56","2015-08-01",1972.180054,3.940332,45.654861,7.957351,6.45,6.4,637.609985,512.890015,105.715614,40.018902,25.648855,154.001816,71.918159,34.270145,176.327759,56.56694,9.316261,65.29863,69.358109,78.167992,26.264338,37.908157,84.878616,109.172195,29.050261,47.94656,85.600296,42.111839
"57","2015-09-01",1920.030029,4.108637,44.573265,8.202343,6.52,6.44,608.419983,511.890015,103.730179,40.967751,27.31179,159.064545,68.019974,34.429455,185.403915,59.639412,8.409527,65.129967,68.402306,65.217964,24.330284,36.527447,84.954597,109.464722,27.648808,43.975502,71.477287,37.110821
"58","2015-10-01",2079.360107,4.217541,45.60548,8.27094,7.04,8.17,710.809998,625.900024,112.382195,48.724419,30.68272,174.423843,74.482735,38.22443,202.745865,61.858356,8.285072,72.47953,78.808327,74.568039,28.422485,40.025486,91.943901,111.615578,29.77022,49.086754,70.318657,41.336765
"59","2015-11-01",2080.409912,3.494816,34.27084,6.271804,6.47,7.9,742.599976,664.799988,111.253654,50.307217,31.507332,161.246399,74.874924,38.242325,212.111786,63.858425,7.458343,71.53347,79.18988,67.531357,27.546726,41.037949,92.134995,106.810928,28.845957,47.604996,66.282898,41.688175
"60","2015-12-01",2043.939941,3.454225,34.766544,6.957782,5.18,8.29,758.880005,675.890015,99.414101,51.69931,31.437263,169.7491,75.345558,38.394398,218.86232,65.274475,6.231583,68.878807,78.963295,62.201675,25.29525,37.303455,94.171021,111.48291,28.643974,47.434364,66.904976,41.678894
"61","2016-01-01",1940.23999,3.476897,28.398563,8.31014,4.36,6.17,742.950012,587,91.93396,51.335884,28.307226,162.625305,75.910667,35.647755,225.632401,62.103077,5.724878,68.790436,75.899925,57.962589,26.193451,37.31514,95.747887,109.604088,27.055607,45.896812,60.629719,35.126835
"62","2016-02-01",1932.22998,5.943564,44.484528,12.7592,5.8,9.21,697.77002,552.52002,91.320068,47.412769,27.002279,165.637207,76.174858,34.735558,222.010651,60.008553,6.204915,70.822777,73.240303,62.154259,23.539307,37.643505,96.453789,113.353989,26.327971,45.480141,55.295361,36.179688
"63","2016-03-01",2059.73999,6.346111,49.204475,13.415779,5.55,10.96,744.950012,593.640015,103.495514,51.835869,29.780743,182.95253,76.174858,39.901642,245.449478,60.443569,7.653913,74.53286,84.800438,62.875,24.938179,38.241283,99.913818,122.68119,26.565773,47.925808,58.52433,39.065475
"64","2016-04-01",2065.300049,6.579462,60.340508,16.120495,9.39,14.33,693.01001,659.590027,89.014297,46.805256,27.875143,177.209091,77.311615,41.423344,219.297714,61.861298,8.836225,78.821693,90.82711,69.285774,27.747648,43.377354,103.496681,125.844246,29.317354,50.10857,61.376228,36.329113
"65","2016-05-01",2096.949951,10.147839,54.086769,13.160988,9.03,12.03,735.719971,722.789978,94.825783,49.742905,29.081102,174.099564,80.808792,43.35722,227.270233,62.89732,7.787257,79.374496,89.778244,64.980309,25.946281,41.47131,104.059975,127.746094,31.100958,51.406055,64.236191,37.236969
"66","2016-06-01",2098.860107,10.533952,69.398338,17.698244,12.99,14.68,692.099976,715.619995,91.333252,48.361279,30.455826,192.575623,90.259186,44.734653,228.954285,62.597412,8.498422,84.285545,94.167725,64.76722,29.893293,41.11232,112.810326,134.942352,31.840668,52.63958,66.659897,36.936298
"67","2016-07-01",2173.600098,11.038867,81.735481,21.471128,13.94,13.24,768.789978,758.809998,99.558975,53.568832,32.368595,201.578445,87.167419,50.132759,215.626785,62.261166,7.600576,79.978645,92.056747,64.986557,28.958866,41.706989,116.465256,137.476929,33.359898,54.036533,67.265831,42.047802
"68","2016-08-01",2170.949951,10.583452,70.88768,15.767706,11.72,10.55,767.049988,769.159973,101.364616,54.306023,33.324989,191.306,85.137131,48.863113,202.107208,59.404053,7.876151,78.351204,90.350006,62.993568,28.50428,41.403511,110.98748,130.612717,31.469902,57.841019,63.638348,39.725857
"69","2016-09-01",2168.27002,7.543061,74.861343,15.601111,12.06,11.03,777.289978,837.309998,108.589523,54.777634,35.31776,185.214706,84.634056,49.25872,201.385239,58.90955,7.787257,79.146294,93.426132,63.699219,30.139273,41.360153,110.595078,134.404831,30.883495,57.490967,63.791851,39.981117
"70","2016-10-01",2126.149902,9.207307,66.733498,13.464778,10.96,10.95,784.539978,789.820007,109.060188,56.983955,32.623306,166.380997,82.536438,48.383663,194.485184,56.981796,7.725029,75.555344,95.087326,64.894142,30.473579,41.99147,108.591583,136.308228,28.913956,54.488464,57.377117,37.097637
"71","2016-11-01",2198.810059,7.385645,67.528633,10.720863,9.86,9.3,758.039978,750.570007,106.159332,57.307293,32.464264,160.735352,75.706032,47.214886,190.462982,55.376152,7.609466,79.164444,101.269127,67.586487,30.010685,41.921093,104.200737,152.69455,29.30604,56.780468,55.551262,36.220306
"72","2016-12-01",2238.830078,5.217474,61.429337,10.299478,8.92,8.15,771.820007,768.659973,111.821404,59.494389,34.190029,160.413269,78.708496,48.597008,203.384995,59.390259,8.045054,82.573349,107.912361,70.614174,32.617523,44.832531,108.606682,154.968018,29.193123,54.627651,58.847496,36.543793
"73","2017-01-01",2278.870117,7.019334,69.981926,12.45541,10.57,9.85,796.789978,823.47998,117.160492,61.897533,34.708488,165.920776,80.539894,45.684002,197.452148,56.526176,8.356188,76.745811,102.090408,76.161743,31.395895,45.059967,106.759018,156.962753,29.220749,57.964214,59.720024,39.740536
"74","2017-02-01",2363.639893,7.029234,64.286209,10.799262,11.1,10.2,823.210022,845.039978,132.260529,61.256058,34.124043,166.489578,85.766769,47.741417,208.895187,58.665558,8.018386,74.394684,103.144783,72.779541,29.598354,44.534149,115.205475,160.138794,31.421745,61.592236,63.153606,43.166756
"75","2017-03-01",2362.719971,7.291593,68.179398,10.55427,10.61,11,829.559998,886.539978,139.301605,63.438282,34.244232,156.829102,86.610405,48.517628,201.04303,57.874924,8.285072,75.71199,99.383659,70.183014,30.649273,44.935188,118.188286,158.81221,31.825596,59.413555,60.002796,42.525196
